Column1,player_szn,RK,PLAYER,YEAR,OFF,RB,RBR,RAR,RAAO,WAAO,WAAWPO,TRPG,Rk.1,Player.1,OPS.,PA,Season,Age,Team,Lg,G,PA_1,AB,R,H,X1B,X2B,X3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS._2,TB,GIDP,HBP,SH,SF,IBB,Pos,Player.additional,comb_rnk
1,Al Rosen-1953,62,Al Rosen,1953,9.1,68,2.2,98.7,69.2,7,0.5,4.9,167,Al Rosen,180,688,1953,29,CLE,AL,155,688,599,115,201,126,27,5,43,145,8,7,85,48,0.336,0.422,0.613,1.034,180,367,19,4,0,NA,4,*5/36H,rosenal01,229
2,Albert Pujols-2003,103,Albert Pujols,2003,8.5,73.5,2.4,89,67.2,6.5,0.5,5.1,109,Albert Pujols,187,685,2003,23,STL,NL,157,685,591,137,212,117,51,1,43,124,5,1,79,65,0.359,0.439,0.667,1.106,187,394,13,10,0,5,12,*73/HD,pujolal01,212
3,Albert Pujols-2008,167,Albert Pujols,2008,7.4,64.6,0.3,94.6,56.7,5.5,0.5,5,83,Albert Pujols,192,641,2008,28,STL,NL,148,641,524,100,187,106,44,0,37,116,7,3,104,54,0.357,0.462,0.653,1.114,192,342,16,5,0,8,34,*3/HD4,pujolal01,250
4,Albert Pujols-2009,141,Albert Pujols,2009,7.9,67.3,3.1,97.3,58.8,5.8,0.5,4.9,95,Albert Pujols,189,700,2009,29,STL,NL,160,700,568,124,186,93,45,1,47,135,16,4,115,64,0.327,0.443,0.658,1.101,189,374,23,9,0,8,44,*3/HD,pujolal01,236
5,Arky Vaughan-1935,45,Arky Vaughan,1935,9.5,70.9,-0.3,95,79.7,7.6,0.6,5.3,89,Arky Vaughan,190,610,1935,23,PIT,NL,137,610,499,108,192,129,34,10,19,99,4,7,97,18,0.385,0.491,0.607,1.098,190,303,5,7,7,NA,7,*6,vaughar01,134
6,Babe Ruth-1919,89,Babe Ruth,1919,8.7,67.6,-0.2,89.2,61.7,6.6,0.6,4.6,18,Babe Ruth,217,543,1919,24,BOS,AL,130,543,432,103,139,64,34,12,29,113,7,NA,101,58,0.322,0.456,0.657,1.114,217,284,NA,6,3,NA,NA,*71/38H,ruthba01,107
7,Babe Ruth-1920,4,Babe Ruth,1920,11.8,108.7,-1.1,125.2,101,9.6,0.6,5.5,5,Babe Ruth,255,617,1920,25,NYY,AL,142,617,458,158,172,73,36,9,54,135,14,14,150,80,0.376,0.532,0.847,1.379,255,388,NA,3,5,NA,NA,*978/31H,ruthba01,9
8,Babe Ruth-1921,2,Babe Ruth,1921,12.2,116.4,-0.8,140.2,108.9,9.8,0.6,5.8,7,Babe Ruth,239,693,1921,26,NYY,AL,152,693,540,177,204,85,44,16,59,168,17,13,145,81,0.378,0.512,0.846,1.359,239,457,NA,4,4,NA,NA,*78/13H,ruthba01,9
9,Babe Ruth-1923,2,Babe Ruth,1923,12.2,113,-3.8,146.3,102.2,9.7,0.6,5.5,6,Babe Ruth,239,699,1923,28,NYY,AL,152,699,522,151,205,106,45,13,41,130,17,21,170,93,0.393,0.545,0.764,1.309,239,399,NA,4,3,NA,NA,*97/83,ruthba01,8
10,Babe Ruth-1924,15,Babe Ruth,1924,10.8,99.8,-2.4,124.5,90.2,8.3,0.6,5.6,15,Babe Ruth,220,681,1924,29,NYY,AL,153,681,529,143,200,108,39,7,46,124,9,13,142,81,0.378,0.513,0.739,1.252,220,391,NA,4,6,NA,28,*97/8H,ruthba01,30
11,Babe Ruth-1926,13,Babe Ruth,1926,11.1,97.5,-0.5,119.4,89.9,8.6,0.6,5.4,11,Babe Ruth,226,652,1926,31,NYY,AL,152,652,495,139,184,102,30,5,47,153,11,9,144,76,0.372,0.516,0.737,1.253,226,365,NA,3,10,NA,13,*79/H3,ruthba01,24
12,Babe Ruth-1927,11,Babe Ruth,1927,11.2,101.6,-0.3,131,94.3,8.8,0.6,5.6,12,Babe Ruth,225,691,1927,32,NYY,AL,151,691,540,158,192,95,29,8,60,165,7,5,137,89,0.356,0.486,0.772,1.258,225,417,NA,0,14,NA,3,*97,ruthba01,23
13,Babe Ruth-1928,31,Babe Ruth,1928,9.9,85,-0.4,104.4,77.5,7.4,0.5,5.3,35,Babe Ruth,206,684,1928,33,NYY,AL,154,684,536,163,173,82,29,8,54,146,4,5,137,87,0.323,0.463,0.709,1.172,206,380,NA,3,8,NA,8,*97,ruthba01,66
14,Babe Ruth-1930,28,Babe Ruth,1930,10,97.5,-1.7,114.8,89.1,7.6,0.6,6.1,25,Babe Ruth,211,676,1930,35,NYY,AL,145,676,518,150,186,100,28,9,49,153,10,10,136,61,0.359,0.493,0.732,1.225,211,379,NA,1,21,NA,8,*97/1,ruthba01,53
15,Babe Ruth-1931,21,Babe Ruth,1931,10.4,96.8,0.3,112.4,90.4,8.1,0.6,5.8,17,Babe Ruth,218,663,1931,36,NYY,AL,145,663,534,149,199,119,31,3,46,162,5,4,128,51,0.373,0.495,0.7,1.195,218,374,NA,1,0,NA,5,*97/H3,ruthba01,38
16,Barry Bonds-1992,117,Barry Bonds,1992,8.3,61.3,3.8,83.2,60,6.5,0.5,4.3,41,Barry Bonds,204,612,1992,27,PIT,NL,140,612,473,109,147,72,36,5,34,103,39,8,127,69,0.311,0.456,0.624,1.08,204,295,9,5,0,7,32,*7/H,bondsba01,158
17,Barry Bonds-1993,89,Barry Bonds,1993,8.7,72.6,1.8,97.7,67.6,6.7,0.5,4.9,37,Barry Bonds,206,674,1993,28,SFG,NL,159,674,539,129,181,93,38,4,46,123,29,12,126,79,0.336,0.458,0.677,1.136,206,365,11,2,0,7,43,*7/H,bondsba01,126
18,Barry Bonds-1996,69,Barry Bonds,1996,8.9,69.8,7.8,102.2,71.4,6.8,0.5,5.1,106,Barry Bonds,188,675,1996,31,SFG,NL,158,675,517,122,159,87,27,3,42,129,40,7,151,76,0.308,0.461,0.615,1.076,188,318,11,1,0,6,30,*7/H8,bondsba01,175
19,Barry Bonds-2001,1,Barry Bonds,2001,12.4,115.8,0.5,126.3,110.4,10.4,0.6,5.5,3,Barry Bonds,259,664,2001,36,SFG,NL,153,664,476,129,156,49,32,2,73,137,13,3,177,93,0.328,0.515,0.863,1.379,259,411,5,9,0,2,35,*7/DH,bondsba01,4
20,Barry Bonds-2002,4,Barry Bonds,2002,11.8,108.8,-1.6,120.7,101.6,9.9,0.6,5.2,1,Barry Bonds,268,612,2002,37,SFG,NL,143,612,403,117,149,70,31,2,46,110,9,2,198,47,0.37,0.582,0.799,1.381,268,322,4,9,0,2,68,*7/DH,bondsba01,5
21,Barry Bonds-2003,95,Barry Bonds,2003,8.6,76.9,0.9,94.6,72.5,7,0.6,5.2,10,Barry Bonds,231,550,2003,38,SFG,NL,130,550,390,111,133,65,22,1,45,90,7,0,148,58,0.341,0.529,0.749,1.278,231,292,7,10,0,2,61,*7/DH,bondsba01,105
22,Barry Bonds-2004,6,Barry Bonds,2004,11.5,106.4,-0.1,112,100.7,9.6,0.6,5.4,2,Barry Bonds,263,617,2004,39,SFG,NL,147,617,373,129,135,60,27,3,45,101,6,1,232,41,0.362,0.609,0.812,1.422,263,303,5,9,0,3,120,*7/HD,bondsba01,8
23,Bryce Harper-2015,69,Bryce Harper,2015,8.9,69.9,2.9,97.4,66.6,6.8,0.5,4.7,60,Bryce Harper,198,654,2015,22,WSN,NL,153,654,521,118,172,91,38,1,42,99,6,4,124,131,0.33,0.46,0.649,1.109,198,338,15,5,0,4,15,*98/D,harpebr03,129
24,Carl Yastrzemski-1967,31,Carl Yastrzemski,1967,9.9,69.4,2.7,111.9,66.7,7.6,0.5,4.1,74,Carl Yastrzemski,193,680,1967,27,BOS,AL,161,680,579,112,189,110,31,4,44,121,10,8,91,69,0.326,0.418,0.622,1.04,193,360,5,4,1,5,11,*7/8H,yastrca01,105
25,Dan Brouthers-1892,148,Dan Brouthers,1892,7.8,63.1,-2.3,95.2,60.6,5.5,0.5,5.6,182,Dan Brouthers,179,688,1892,34,BRO,NL,152,688,588,121,197,142,30,20,5,124,31,NA,84,30,0.335,0.432,0.48,0.911,179,282,NA,16,NA,NA,NA,*3,broutda01,330
26,Dick Allen-1972,84,Dick Allen,1972,8.8,60.3,2.4,74.1,53.7,6.5,0.5,3.8,57,Dick Allen,199,609,1972,30,CHW,AL,148,609,506,90,156,86,28,5,37,113,19,8,99,126,0.308,0.42,0.603,1.023,199,305,13,1,0,3,16,*3/H5,allendi01,141
27,George Brett-1980,103,George Brett,1980,8.5,60.5,5.2,94.8,68.9,6.9,0.6,5.1,42,George Brett,203,515,1980,27,KCR,AL,117,515,449,87,175,109,33,9,24,118,15,6,58,22,0.39,0.454,0.664,1.118,203,298,11,1,0,7,16,*5/H3,brettge01,145
28,George Sisler-1920,55,George Sisler,1920,9.2,71.7,3.9,100.6,69.5,6.8,0.5,5.2,152,George Sisler,182,692,1920,27,SLB,AL,154,692,631,137,257,171,49,18,19,122,42,17,46,19,0.407,0.449,0.632,1.082,182,399,NA,2,13,NA,NA,*3/1,sislege01,207
29,George Stone-1906,141,George Stone,1906,7.9,55.7,-0.6,75.8,46.9,5.4,0.5,4,77,George Stone,193,662,1906,29,SLB,AL,154,662,581,91,208,157,25,20,6,71,35,NA,52,89,0.358,0.417,0.501,0.918,193,291,NA,7,18,NA,NA,*7,stonege01,218
30,Harry Heilmann-1923,69,Harry Heilmann,1923,8.9,74,0.2,96.2,67.5,6.5,0.5,5.3,73,Harry Heilmann,194,627,1923,28,DET,AL,144,627,524,121,211,138,44,11,18,115,9,7,74,40,0.403,0.481,0.632,1.113,194,331,NA,5,23,NA,NA,*93/H,heilmha01,142
31,Honus Wagner-1907,39,Honus Wagner,1907,9.7,46.2,7.9,77,63.2,7.6,0.6,3.9,111,Honus Wagner,187,584,1907,33,PIT,NL,142,584,515,98,180,122,38,14,6,82,61,NA,46,40,0.35,0.408,0.513,0.921,187,264,NA,5,14,NA,NA,*6/3,wagneho01,150
32,Honus Wagner-1908,8,Honus Wagner,1908,11.4,61.6,4.4,97.1,76.1,9.3,0.6,3.8,39,Honus Wagner,205,641,1908,34,PIT,NL,151,641,568,100,201,133,39,19,10,109,53,NA,54,22,0.354,0.415,0.542,0.957,205,308,NA,5,14,NA,NA,*6,wagneho01,47
33,Jason Giambi-2001,89,Jason Giambi,2001,8.7,77,-0.1,94.1,65.3,6.3,0.5,5.3,56,Jason Giambi,199,671,2001,30,OAK,AL,154,671,520,109,178,91,47,2,38,120,2,0,129,83,0.342,0.477,0.66,1.137,199,343,17,13,0,9,24,*3D/H,giambja01,145
34,Jimmie Foxx-1932,28,Jimmie Foxx,1932,10,91.7,-1.5,114.5,84,7.6,0.5,5.8,32,Jimmie Foxx,207,702,1932,24,PHA,AL,154,702,585,151,213,113,33,9,58,169,3,7,116,96,0.364,0.469,0.749,1.218,207,438,NA,0,0,NA,10,*35,foxxji01,60
35,Jimmie Foxx-1933,55,Jimmie Foxx,1933,9.2,80.1,0.6,98.4,73.8,6.9,0.5,5.5,48,Jimmie Foxx,201,670,1933,25,PHA,AL,149,670,573,125,204,110,37,9,48,163,2,2,96,93,0.356,0.449,0.703,1.153,201,403,NA,1,0,NA,9,*3/6,foxxji01,103
36,Jimmie Foxx-1934,117,Jimmie Foxx,1934,8.3,69.4,1.8,97.2,64.8,5.9,0.5,5.6,120,Jimmie Foxx,186,652,1934,26,PHA,AL,150,652,539,120,180,102,28,6,44,130,11,2,111,75,0.334,0.449,0.653,1.102,186,352,NA,1,1,NA,17,*3/5H,foxxji01,237
37,Joe DiMaggio-1941,117,Joe DiMaggio,1941,8.3,66.1,0.5,94.1,65.2,6.3,0.5,5.2,134,Joe DiMaggio,185,622,1941,26,NYY,AL,139,622,541,122,193,109,43,11,30,125,4,2,76,13,0.357,0.44,0.643,1.083,185,348,6,4,0,NA,21,*8,dimagjo01,251
38,Joe Jackson-1911,103,Joe Jackson,1911,8.5,70.1,-0.7,91.4,62.9,6.2,0.5,5,76,Joe Jackson,193,641,1911,23,CLE,AL,147,641,571,126,233,162,45,19,7,83,41,NA,56,42,0.408,0.468,0.59,1.058,193,337,NA,8,6,NA,NA,*98,jacksjo01,179
39,Joe Jackson-1912,69,Joe Jackson,1912,8.9,69.3,1.6,94,63.5,6.3,0.5,4.9,86,Joe Jackson,191,653,1912,24,CLE,AL,154,653,572,121,226,153,44,26,3,90,35,20,54,19,0.395,0.458,0.579,1.036,191,331,NA,12,15,NA,NA,*98/H,jacksjo01,155
40,Joe Medwick-1937,125,Joe Medwick,1937,8.2,66.7,0,84.1,59.4,5.9,0.5,4.9,154,Joe Medwick,182,677,1937,25,STL,NL,156,677,633,111,237,140,56,10,31,154,4,5,41,50,0.374,0.414,0.641,1.056,182,406,11,2,1,NA,13,*7,medwijo01,279
41,Joe Morgan-1976,39,Joe Morgan,1976,9.7,57.1,9.6,91.4,73,7.8,0.6,4.5,114,Joe Morgan,187,599,1976,32,CIN,NL,141,599,472,113,151,89,30,5,27,111,60,9,114,41,0.32,0.444,0.576,1.02,187,272,2,1,0,12,8,*4H,morgajo02,153
42,Larry Walker-1997,69,Larry Walker,1997,8.9,69.6,6.6,101.7,72.1,6.9,0.5,5.1,194,Larry Walker,178,664,1997,30,COL,NL,153,664,568,143,208,109,46,4,49,130,33,8,78,90,0.366,0.452,0.72,1.172,178,409,15,14,0,4,14,*9/38HD,walkela01,263
43,Lou Gehrig-1927,9,Lou Gehrig,1927,11.3,102.7,-0.5,125.3,95,8.8,0.6,5.6,16,Lou Gehrig,220,717,1927,24,NYY,AL,155,717,584,149,218,101,52,18,47,173,10,10,109,84,0.373,0.474,0.765,1.24,220,447,NA,3,21,NA,9,*3,gehrilo01,25
44,Lou Gehrig-1928,69,Lou Gehrig,1928,8.9,77.4,-3.1,96.1,67.2,6.4,0.5,5.2,79,Lou Gehrig,193,678,1928,25,NYY,AL,154,678,562,139,210,123,47,13,27,147,4,11,95,69,0.374,0.467,0.648,1.115,193,364,NA,4,17,NA,3,*3,gehrilo01,148
45,Lou Gehrig-1930,31,Lou Gehrig,1930,9.9,95.3,-3.1,106.2,85,7.3,0.5,6,43,Lou Gehrig,203,703,1930,27,NYY,AL,154,703,581,143,220,120,42,17,41,173,12,14,101,63,0.379,0.473,0.721,1.194,203,419,NA,3,18,NA,3,*3/7,gehrilo01,74
